review_text,rating
"já tenho 2 meses de uso e o carregador turbo é totalmente fake, a unica vez que carregou o aparelho em 15 minutos foi na primeira carga, agora as cargas duram mais de 1 hora como um aparelho comum, sem falar das vezes que ele começa a esquentar e leva UMA NOITE INTEIRA pra carregar... não gostei muito do foco do celular tbm, o resto é ótimo, ele roda muito bem e ainda não deu uma travadinha.",3
Ja reclamei e ninguém me deu reposta. Nenhuma das duas bonecas voaram! NÃO RECOMENDO!,1
Comprei p dar de presente a pessoa disse q o celular é bom.,3
Produto entregue no prazo . Produto entregue no prazo,3
Gostei muito do produto. Até agora não tive problemas.,5
"na foto o sapato parece lindo!!!, mas pessoalmente é o sapato mais feio que já comprei!!!",1
"Muito bom produto para limpezas superficiais, principalmente de tapetes e carpetes.",3
Parabéns ao fabricante por criar uma porcaria dessas!,1
"O aparelho é lindo, tem fotos boas, mas a função profundidade não é legal. no mais atende as expectativas de um android nessa faixa de preço. Americanas super correta com atendimento, entrega beeem antes do prazo.",3
"ótimo  custo beneficio, mouse muito bom e confortável. excelente para iniciantes",5
Produto mto bom. Entrega rápida. Loja atenciosa e cumpre seus prazos.,5
produto excelente.................recomendo...........................,5
Recebi peças quebradas e até agora nenhuma solução... aguardo no email bjmovio@gmail.com ou no telefone 011969967776,1
"Antes de mais nada a loja forneceu uma alternativa logo de cara pela falta de produto anunciado no estoque, já começa daí. Depois as funcionalidades que o produto oferece supera as expectativas, principalmente com relação a backup. O suporte técnico é eficiente!",4
Faltou apenas ter uma embalagem ou tampa para proteção e manter o produto limpo. Mas ele atende ao que precisa.   Faltou apenas ter uma embalagem ou tampa para proteção e manter o produto limpo. Mas ele atende ao que precisa.,4
"Cor maravilhosa, jarro de vidro e muito potente. Recomendo o produto.",5
Gostei muito mesmo recomendo  falaram que ia ser em um dia efiram previso na emtrega,5
"Excelente produto, muito confortável. Atendeu as espectativas.",5
Estamos satisfeitos com o produto.  Qualidade e entrega,4
"Ótimo produto para estimular o raciocínio e a criatividade das crianças. Minha sobrinha gostou e acompanhou o passo-a-passo de montagem que vem no livreto, com apenas 5 aninhos arrasou na montagem.",4
lancheira muito bonita e de boa qualidade. meu filho amou!,4
"o quadro amarelo veio quebrado e até o momento não consegui resolver o problema. já liguei, ja fiz email e até agora sem solução. o presente de Natal para a neta acabou se transformando em uma tristeza para ela que até agora não conseguiu brincar .",1
